id,name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
847,HD 20868 b,156,9.92,Gas Giant,2008,1.25,Jupiter,1.22,Jupiter,0.95,1.0428474,0.75,Radial Velocity
848,HD 208897 b,220,6.50821,Gas Giant,2017,1.4,Jupiter,1.21,Jupiter,1.05,0.96564,0.07,Radial Velocity
849,HD 209458 b,158,7.65,Gas Giant,1999,0.73,Jupiter,1.39,Jupiter,0.04707,0.009582478,0,Radial Velocity
850,HD 210193 b,138,7.83,Gas Giant,2019,0.4817,Jupiter,1.27,Jupiter,1.487,1.8,0.24,Radial Velocity
851,HD 210277 b,69,6.54348,Gas Giant,1998,1.29,Jupiter,1.22,Jupiter,1.13,1.2106776,0.48,Radial Velocity
852,HD 210702 b,177,5.93022,Gas Giant,2007,1.808,Jupiter,1.2,Jupiter,1.148,0.969473,0.03,Radial Velocity
853,HD 211403 b,271,8.48,Gas Giant,2021,5.54,Jupiter,1.14,Jupiter,0.768,0.61273104,0.08,Radial Velocity
854,HD 211810 b,211,8.59,Gas Giant,2018,0.67,Jupiter,1.25,Jupiter,2.656,4.3,0.68,Radial Velocity
855,HD 211970 b,43,10.24,Neptune-like,2019,13,Earth,0.327,Jupiter,0.143,0.068993844,0.15,Radial Velocity
856,HD 212301 b,177,7.76,Gas Giant,2005,0.51,Jupiter,1.27,Jupiter,0.03,0.006023272,0,Radial Velocity
857,HD 212771 b,363,7.6,Gas Giant,2009,2.39,Jupiter,1.18,Jupiter,1.19,1.0422999,0.08,Radial Velocity
858,HD 213240 b,133,6.81,Gas Giant,2001,5.58,Jupiter,1.14,Jupiter,1.89,2.4,0.42,Radial Velocity
859,HD 213472 b,210,8.17,Gas Giant,2021,3.5,Jupiter,1.17,Jupiter,13,46.6,0.53,Radial Velocity
860,HD 213519 b,134,7.68,Neptune-like,2022,9.51349,Earth,0.272,Jupiter,0.099068,0.030390145,0.41,Radial Velocity
