id,name,distance,stellar_magnitude,planet_type,discovery_year,mass_multiplier,mass_wrt,radius_multiplier,radius_wrt,orbital_radius,orbital_period,eccentricity,detection_method
2174,Kepler-1282 b,3599,15.707,Super Earth,2016,3.02,Earth,1.55,Earth,0.0335,0.0057494864,0,Transit
2175,Kepler-1283 b,9532,15.269,Super Earth,2016,4.31,Earth,1.91,Earth,0.1062,0.035318274,0,Transit
2176,Kepler-1284 b,2878,15.912,Super Earth,2016,1.92,Earth,1.21,Earth,0.0143,0.0019164955,0,Transit
2177,Kepler-1285 b,1377,11.717,Terrestrial,2016,0.871,Earth,0.97,Earth,0.1268,0.04052019,0,Transit
2178,Kepler-1286 b,4418,15.278,Neptune-like,2016,5.27,Earth,2.15,Earth,0.0991,0.030937715,0,Transit
2179,Kepler-1287 b,3273,15.216,Super Earth,2016,2.99,Earth,1.54,Earth,0.0976,0.031485286,0,Transit
2180,Kepler-1288 b,2656,13.199,Super Earth,2016,1.46,Earth,1.12,Earth,0.0435,0.007665982,0,Transit
2181,Kepler-1289 b,3437,14.732,Super Earth,2016,2.92,Earth,1.52,Earth,0.0785,0.021902807,0,Transit
2182,Kepler-128 b,1293,11.693,Super Earth,2013,0.77,Earth,1.43,Earth,0.1231,0.041341547,0,Transit
2183,Kepler-128 c,1293,11.693,Super Earth,2013,0.9,Earth,1.34,Earth,0.1622,0.062422995,0,Transit
2184,Kepler-1290 b,5199,15.871,Super Earth,2016,2.6,Earth,1.42,Earth,0.0557,0.012867898,0,Transit
2185,Kepler-1291 b,2927,16.261,Super Earth,2016,3.39,Earth,1.66,Earth,0.0779,0.023545519,0,Transit
2186,Kepler-1292 b,4872,16.337,Super Earth,2016,3.97,Earth,1.82,Earth,0.0443,0.009034907,0,Transit
2187,Kepler-1293 b,3354,13.377,Terrestrial,2016,0.871,Earth,0.97,Earth,0.0659,0.015331964,0,Transit
2188,Kepler-1294 b,6053,15.361,Neptune-like,2016,10.3,Earth,0.285,Jupiter,0.4684,0.31676933,0,Transit
2189,Kepler-1295 b,3831,16.227,Super Earth,2016,3.02,Earth,1.55,Earth,0.0464,0.010403832,0,Transit
2190,Kepler-1296 b,5061,14.934,Terrestrial,2016,0.693,Earth,0.91,Earth,0.0896,0.022997946,0,Transit
2191,Kepler-1297 b,4696,14.867,Terrestrial,2016,0.871,Earth,0.97,Earth,0.0283,0.0046543465,0,Transit
2192,Kepler-1298 b,1775,11.388,Super Earth,2016,2.27,Earth,1.31,Earth,0.082,0.01943874,0,Transit
2193,Kepler-1299 b,4583,15.962,Neptune-like,2016,9.17,Earth,0.266,Jupiter,0.1357,0.05448323,0,Transit
2194,Kepler-129 b,1334,11.809,Super Earth,2014,20,Earth,0.214,Jupiter,0.13,0.04325804,0.01,Transit
2195,Kepler-129 c,1334,11.809,Gas Giant,2014,0.13529,Jupiter,0.225,Jupiter,0.39,0.22505133,0.2,Transit
2196,Kepler-129 d,1334,11.809,Gas Giant,2021,8.3,Jupiter,1.12,Jupiter,4,7.2,0.15,Radial Velocity
2197,Kepler-12 b,2875,13.468,Gas Giant,2011,0.432,Jupiter,1.754,Jupiter,0.0553,0.012046544,0,Transit
2198,Kepler-1300 b,2535,12.861,Super Earth,2016,2.45,Earth,1.37,Earth,0.1655,0.06078029,0,Transit
2199,Kepler-1301 b,2787,15.656,Super Earth,2016,2.54,Earth,1.4,Earth,0.0815,0.024914443,0,Transit
2200,Kepler-1302 b,2070,15.172,Super Earth,2016,2.63,Earth,1.43,Earth,0.0795,0.024093088,0,Transit
2201,Kepler-1303 b,2929,14.854,Super Earth,2016,2.6,Earth,1.42,Earth,0.0751,0.020807665,0,Transit
2202,Kepler-1304 b,7098,15.408,Neptune-like,2016,5.86,Earth,0.204,Jupiter,0.1202,0.044079397,0,Transit
2203,Kepler-1305 b,5138,15.834,Super Earth,2016,4.19,Earth,1.88,Earth,0.1109,0.037234772,0,Transit
2204,Kepler-1306 b,3613,15.353,Super Earth,2016,4.31,Earth,1.91,Earth,0.123,0.044626966,0,Transit
2205,Kepler-1307 b,3310,15.636,Neptune-like,2016,6.66,Earth,0.22,Jupiter,0.1369,0.049281314,0,Transit
2206,Kepler-1308 b,368,16.4,Terrestrial,2016,0.0933,Earth,0.52,Earth,0.025,0.0057494864,0,Transit
2207,Kepler-1309 b,2756,16.5119,Neptune-like,2016,6.21,Earth,0.211,Jupiter,0.1679,0.0788501,0,Transit
2208,Kepler-130 b,1033,11.572,Super Earth,2014,1.04,Earth,1.02,Earth,0.079,0.023271732,0.15,Transit
2209,Kepler-130 c,1033,11.572,Neptune-like,2014,8.75,Earth,0.259,Jupiter,0.178,0.075290896,0,Transit
2210,Kepler-130 d,1033,11.572,Super Earth,2014,3.33,Earth,1.64,Earth,0.377,0.23956195,0.8,Transit
2211,Kepler-1310 b,1857,14.346,Super Earth,2016,2.67,Earth,1.44,Earth,0.0148,0.0019164955,0,Transit
2212,Kepler-1311 b,2826,13.528,Super Earth,2016,2.07,Earth,1.24,Earth,0.0989,0.030663928,0,Transit
2213,Kepler-1311 c,2826,13.528,Super Earth,2016,1.98,Earth,1.22,Earth,0.0368,0.0068446267,0,Transit
2214,Kepler-1311 d,2826,13.528,Gas Giant,2021,0.212,Jupiter,0.862,Jupiter,0.6711,0.5407255,0,Transit
2215,Kepler-1312 b,976,12.491,Neptune-like,2016,5.06,Earth,2.1,Earth,0.0603,0.014784395,0,Transit
2216,Kepler-1312 c,976,12.491,Super Earth,2021,1.07,Earth,1.027,Earth,0.0209,0.003011636,0,Transit
2217,Kepler-1313 b,568,12.363,Super Earth,2016,3.75,Earth,1.76,Earth,0.046,0.010403832,0,Transit
2218,Kepler-1314 b,463,17.816,Neptune-like,2016,22.9,Earth,0.456,Jupiter,0.0504,0.014784395,0,Transit
2219,Kepler-1315 b,1569,15.133,Super Earth,2016,2.48,Earth,1.38,Earth,0.0163,0.0021902807,0,Transit
2220,Kepler-1315 c,1569,15.133,Super Earth,2021,4.06,Earth,1.844,Earth,0.064,0.018069815,0,Transit
2221,Kepler-1316 b,2612,14.119,Neptune-like,2016,12.3,Earth,0.316,Jupiter,0.3859,0.24093087,0,Transit
2222,Kepler-1317 b,2376,15.083,Super Earth,2016,3.05,Earth,1.56,Earth,0.0128,0.0016427105,0,Transit
2223,Kepler-1318 b,1550,15.531,Neptune-like,2016,9.85,Earth,0.277,Jupiter,0.6085,0.5839836,0,Transit
2224,Kepler-1319 b,339,15.161,Super Earth,2016,2.36,Earth,1.34,Earth,0.0296,0.007939767,0.33,Transit
2225,Kepler-131 b,746,11.493,Super Earth,2014,16.13,Earth,0.215,Jupiter,0.1238,0.044079397,0,Transit
2226,Kepler-131 c,746,11.493,Super Earth,2014,8.25,Earth,0.84,Earth,0.1684,0.069815196,0,Transit
2227,Kepler-1320 b,2112,15.936,Super Earth,2016,3.53,Earth,1.7,Earth,0.0163,0.0024640656,0,Transit
2228,Kepler-1321 b,2509,17.5054,Neptune-like,2016,21.5,Earth,0.439,Jupiter,0.0781,0.030390145,0,Transit
2229,Kepler-1321 c,2509,17.5054,Neptune-like,2016,6.35,Earth,0.214,Jupiter,0.0267,0.006023272,0,Transit
2230,Kepler-1321 d,2509,17.5054,Neptune-like,2021,7.41,Earth,0.234,Jupiter,0.0501,0.015605749,0,Transit
2231,Kepler-1322 b,4405,15.876,Super Earth,2016,3.22,Earth,1.61,Earth,0.0183,0.0027378509,0,Transit
2232,Kepler-1322 c,4405,15.876,Neptune-like,2021,5.29,Earth,2.155,Earth,0.0652,0.01779603,0,Transit
2233,Kepler-1323 b,1518,12.444,Super Earth,2016,2.92,Earth,1.52,Earth,0.0191,0.0024640656,0,Transit
2234,Kepler-1324 b,1571,15.554,Super Earth,2016,2.89,Earth,1.51,Earth,0.0466,0.011225188,0,Transit
2235,Kepler-1325 b,3175,15.311,Neptune-like,2016,8.55,Earth,0.255,Jupiter,0.2004,0.09281315,0,Transit
2236,Kepler-1326 b,2278,12.842,Neptune-like,2016,16.3,Earth,0.373,Jupiter,0.2743,0.11608488,0,Transit
2237,Kepler-1327 b,2212,13.966,Super Earth,2016,3.89,Earth,1.8,Earth,0.1186,0.040793974,0,Transit
2238,Kepler-1328 b,2654,13.969,Terrestrial,2016,0.904,Earth,0.98,Earth,0.0529,0.0123203285,0,Transit
2239,Kepler-1329 b,1918,15.958,Neptune-like,2016,5.35,Earth,2.17,Earth,0.0747,0.025462013,0,Transit
2240,Kepler-132 b,1140,11.922,Super Earth,2014,1.92,Earth,1.21,Earth,0.067,0.016974675,0,Transit
2241,Kepler-132 c,1140,11.922,Super Earth,2014,2.18,Earth,1.28,Earth,0.068,0.017522246,0,Transit
2242,Kepler-132 d,1140,11.922,Super Earth,2014,3.02,Earth,1.55,Earth,0.136,0.049281314,0,Transit
2243,Kepler-132 e,1140,11.922,Super Earth,2016,1.76,Earth,1.18,Earth,0.4393,0.30198494,0,Transit
2244,Kepler-1330 b,5612,15.076,Super Earth,2016,3.36,Earth,1.65,Earth,0.0889,0.027652293,0,Transit
2245,Kepler-1331 b,1041,15.58,Super Earth,2016,1.16,Earth,1.05,Earth,0.0142,0.0021902807,0,Transit
2246,Kepler-1332 b,1725,13.975,Super Earth,2016,2.45,Earth,1.37,Earth,0.0986,0.032580424,0,Transit
2247,Kepler-1333 b,3042,15.421,Neptune-like,2016,8.3,Earth,0.251,Jupiter,0.4382,0.30006844,0,Transit
2248,Kepler-1334 b,3990,15.461,Neptune-like,2016,5.86,Earth,0.204,Jupiter,0.1229,0.042710472,0,Transit
2249,Kepler-1335 b,2028,15.248,Super Earth,2016,2.7,Earth,1.45,Earth,0.0615,0.017248461,0,Transit
2250,Kepler-1336 b,3675,14.264,Super Earth,2016,4.58,Earth,1.98,Earth,0.1595,0.06351814,0,Transit
2251,Kepler-1336 c,3675,14.264,Super Earth,2016,3.57,Earth,1.71,Earth,0.0631,0.015879534,0,Transit
2252,Kepler-1337 b,1963,16.21,Neptune-like,2016,6.39,Earth,0.215,Jupiter,0.1441,0.06680356,0,Transit
2253,Kepler-1338 b,2457,13.699,Terrestrial,2016,0.721,Earth,0.92,Earth,0.0193,0.0024640656,0,Transit
2254,Kepler-1339 b,1210,12.344,Terrestrial,2016,0.285,Earth,0.71,Earth,0.0234,0.003559206,0,Transit
2255,Kepler-133 b,2132,12.896,Super Earth,2014,3.75,Earth,1.76,Earth,0.083,0.022176592,0,Transit
2256,Kepler-133 c,2132,12.896,Neptune-like,2014,8.45,Earth,0.253,Jupiter,0.204,0.0862423,0,Transit
2257,Kepler-1340 b,3203,15.003,Super Earth,2016,3.02,Earth,1.55,Earth,0.0153,0.0019164955,0,Transit
2258,Kepler-1341 b,1556,15.356,Neptune-like,2016,9.22,Earth,0.267,Jupiter,0.4498,0.36413416,0,Transit
2259,Kepler-1342 b,2906,15.726,Super Earth,2016,3.39,Earth,1.66,Earth,0.0313,0.006023272,0,Transit
2260,Kepler-1343 b,5730,15.617,Super Earth,2016,4.38,Earth,1.93,Earth,0.0449,0.009308693,0,Transit
2261,Kepler-1344 b,2786,14.192,Super Earth,2016,4.04,Earth,1.84,Earth,0.0568,0.013141684,0,Transit
2262,Kepler-1345 b,4420,13.775,Neptune-like,2016,6.17,Earth,0.211,Jupiter,0.2638,0.12210814,0,Transit
2263,Kepler-1346 b,2752,14.625,Super Earth,2016,3.12,Earth,1.58,Earth,0.044,0.009308693,0,Transit
2264,Kepler-1347 b,1047,13.557,Super Earth,2016,1.08,Earth,1.03,Earth,0.104,0.03832991,0,Transit
2265,Kepler-1348 b,3959,14.871,Super Earth,2016,4.42,Earth,1.94,Earth,0.1834,0.07556468,0,Transit
2266,Kepler-1349 b,901,11.209,Terrestrial,2016,0.271,Earth,0.7,Earth,0.0341,0.0057494864,0,Transit
2267,Kepler-134 b,1092,12.318,Super Earth,2014,4.66,Earth,2,Earth,0.06,0.01451061,0,Transit
2268,Kepler-134 c,1092,12.318,Super Earth,2014,2.13,Earth,1.26,Earth,0.092,0.027652293,0,Transit
2269,Kepler-1350 b,1111,16.577,Neptune-like,2016,6.9,Earth,0.225,Jupiter,0.0413,0.0123203285,0,Transit
2270,Kepler-1350 c,1111,16.577,Super Earth,2016,3.64,Earth,1.73,Earth,0.0222,0.004928131,0,Transit
2271,Kepler-1351 b,661,14.328,Terrestrial,2016,0.208,Earth,0.65,Earth,0.0156,0.0024640656,0,Transit
2272,Kepler-1352 b,2188,13.338,Terrestrial,2016,0.64,Earth,0.89,Earth,0.03,0.005201916,0,Transit
2273,Kepler-1353 b,1936,15.734,Super Earth,2016,3.89,Earth,1.8,Earth,0.153,0.0678987,0,Transit
2274,Kepler-1354 b,3652,14.59,Neptune-like,2016,9.11,Earth,0.265,Jupiter,0.3521,0.20971936,0,Transit
2275,Kepler-1355 b,2973,15.595,Super Earth,2016,2.73,Earth,1.46,Earth,0.0224,0.003559206,0,Transit
2276,Kepler-1356 b,2757,15.887,Super Earth,2016,2.96,Earth,1.53,Earth,0.0136,0.0016427105,0,Transit
2277,Kepler-1357 b,3313,15.322,Super Earth,2016,2.18,Earth,1.28,Earth,0.041,0.008213553,0,Transit
2278,Kepler-1358 b,1784,14.693,Super Earth,2016,1.46,Earth,1.12,Earth,0.0656,0.01943874,0,Transit
2279,Kepler-1359 b,2006,15.987,Neptune-like,2016,8.4,Earth,0.252,Jupiter,0.2769,0.16290212,0,Transit
2280,Kepler-135 b,2028,12.794,Super Earth,2014,3.93,Earth,1.81,Earth,0.067,0.016427105,0,Transit
2281,Kepler-135 c,2028,12.794,Super Earth,2014,1.65,Earth,1.16,Earth,0.103,0.031211497,0,Transit
2282,Kepler-1360 b,4946,14.007,Neptune-like,2016,11.5,Earth,0.303,Jupiter,0.2866,0.11088296,0,Transit
2283,Kepler-1361 b,1269,14.096,Terrestrial,2016,0.566,Earth,0.86,Earth,0.0431,0.009856262,0,Transit
2284,Kepler-1362 b,2385,16.05,Neptune-like,2016,7.27,Earth,0.232,Jupiter,0.4626,0.37289527,0,Transit
2285,Kepler-1363 b,1767,15.454,Super Earth,2016,2.1,Earth,1.25,Earth,0.0363,0.007939767,0,Transit
2286,Kepler-1364 b,3448,13.196,Neptune-like,2016,5.27,Earth,2.15,Earth,0.1284,0.036413416,0,Transit
2287,Kepler-1365 b,2740,13.417,Terrestrial,2016,0.721,Earth,0.92,Earth,0.075,0.021081451,0,Transit
2288,Kepler-1365 c,2740,13.417,Terrestrial,2016,0.437,Earth,0.8,Earth,0.0545,0.013141684,0,Transit
2289,Kepler-1366 b,1520,16.685,Super Earth,2016,2.63,Earth,1.43,Earth,0.0273,0.006023272,0,Transit
2290,Kepler-1367 b,1310,16.012,Terrestrial,2016,0.721,Earth,0.92,Earth,0.0236,0.0043805614,0,Transit
2291,Kepler-1368 b,5336,15.914,Super Earth,2016,3.36,Earth,1.65,Earth,0.0153,0.0019164955,0,Transit
2292,Kepler-1369 b,4034,15.621,Neptune-like,2016,7.7,Earth,0.24,Jupiter,0.1741,0.070910335,0,Transit
2293,Kepler-136 b,1373,11.822,Super Earth,2014,19.8,Earth,2.05,Earth,0.106,0.03175907,0,Transit
2294,Kepler-136 c,1373,11.822,Super Earth,2014,4.62,Earth,1.99,Earth,0.133,0.044900753,0,Transit
2295,Kepler-1370 b,3275,13.718,Super Earth,2016,4.04,Earth,1.84,Earth,0.1495,0.05557837,0,Transit
2296,Kepler-1370 c,3275,13.718,Super Earth,2016,2.15,Earth,1.27,Earth,0.0767,0.020260096,0,Transit
2297,Kepler-1371 b,1681,14.018,Terrestrial,2016,0.315,Earth,0.73,Earth,0.0393,0.009308693,0,Transit
2298,Kepler-1371 c,1681,14.018,Terrestrial,2016,0.196,Earth,0.64,Earth,0.0274,0.0054757018,0,Transit
2299,Kepler-1372 b,4251,15.667,Super Earth,2016,2.15,Earth,1.27,Earth,0.024,0.003559206,0,Transit
2300,Kepler-1373 b,5544,14.328,Super Earth,2016,1.65,Earth,1.16,Earth,0.0242,0.003559206,0,Transit
2301,Kepler-1374 b,3518,15.991,Neptune-like,2016,5.86,Earth,0.204,Jupiter,0.0918,0.029295003,0,Transit
2302,Kepler-1375 b,4667,13.864,Super Earth,2016,3.68,Earth,1.74,Earth,0.0471,0.009034907,0,Transit
2303,Kepler-1376 b,2832,14.792,Super Earth,2016,1.16,Earth,1.05,Earth,0.0598,0.01451061,0,Transit
2304,Kepler-1377 b,3739,15.857,Super Earth,2016,2.1,Earth,1.25,Earth,0.0153,0.0019164955,0,Transit
2305,Kepler-1378 b,1652,16.5497,Neptune-like,2016,5.48,Earth,2.2,Earth,0.0885,0.03285421,0,Transit
2306,Kepler-1379 b,3168,16.107,Super Earth,2016,2.24,Earth,1.3,Earth,0.0171,0.0024640656,0,Transit
2307,Kepler-137 b,988,13.063,Super Earth,2014,2.76,Earth,1.47,Earth,0.077,0.022997946,0,Transit
2308,Kepler-137 c,988,13.063,Super Earth,2014,4.19,Earth,1.88,Earth,0.13,0.051197812,0,Transit
2309,Kepler-1380 b,8034,15.816,Super Earth,2016,2.63,Earth,1.43,Earth,0.0917,0.028199865,0,Transit
2310,Kepler-1381 b,3905,15.579,Neptune-like,2016,5.69,Earth,0.201,Jupiter,0.1728,0.06954141,0,Transit
2311,Kepler-1382 b,2408,12.857,Super Earth,2016,4.19,Earth,1.88,Earth,0.1404,0.044900753,0,Transit
2312,Kepler-1383 b,3351,13.832,Super Earth,2016,2.57,Earth,1.41,Earth,0.1179,0.038056124,0,Transit
2313,Kepler-1384 b,2016,15.7578,Super Earth,2016,4.42,Earth,1.94,Earth,0.1126,0.042162903,0,Transit
2314,Kepler-1385 b,2247,12.947,Terrestrial,2016,0.543,Earth,0.85,Earth,0.0415,0.007939767,0,Transit
2315,Kepler-1386 b,2727,14.597,Super Earth,2016,2.07,Earth,1.24,Earth,0.068,0.0183436,0,Transit
2316,Kepler-1387 b,1485,14.727,Terrestrial,2016,0.749,Earth,0.93,Earth,0.031,0.0062970566,0,Transit
2317,Kepler-1388 b,1480,16.43,Neptune-like,2016,7.22,Earth,0.231,Jupiter,0.0882,0.033675566,0,Transit
2318,Kepler-1388 c,1480,16.43,Neptune-like,2016,5.73,Earth,0.202,Jupiter,0.0519,0.015058179,0,Transit
2319,Kepler-1388 d,1480,16.43,Neptune-like,2016,8.55,Earth,0.255,Jupiter,0.126,0.057494868,0,Transit
2320,Kepler-1388 e,1480,16.43,Neptune-like,2016,6.62,Earth,0.219,Jupiter,0.1861,0.10294318,0,Transit
2321,Kepler-1389 b,1622,14.896,Super Earth,2016,3.78,Earth,1.77,Earth,0.3869,0.2718686,0,Transit
2322,Kepler-138 b,218,13.04,Terrestrial,2014,0.07,Earth,0.64,Earth,0.0753,0.028199865,0.02,Transit
2323,Kepler-138 c,218,13.04,Super Earth,2014,2.3,Earth,1.51,Earth,0.0913,0.03778234,0.02,Transit
2324,Kepler-138 d,218,13.04,Super Earth,2014,2.1,Earth,1.51,Earth,0.1288,0.06324436,0.01,Transit
2325,Kepler-138 e,218,13.04,Terrestrial,2022,0.43,Earth,0.797,Earth,0.1803,0.1045859,0.11,Transit Timing Variations
2326,Kepler-1390 b,2360,14.558,Super Earth,2016,1.76,Earth,1.18,Earth,0.0662,0.01779603,0,Transit
2327,Kepler-1391 b,3387,13.906,Super Earth,2016,3.46,Earth,1.68,Earth,0.2768,0.14893909,0,Transit
2328,Kepler-1392 b,3644,15.963,Super Earth,2016,4.5,Earth,1.96,Earth,0.1189,0.041341547,0,Transit
2329,Kepler-1393 b,1776,13.476,Terrestrial,2016,0.437,Earth,0.8,Earth,0.0337,0.006570842,0,Transit
2330,Kepler-1394 b,2089,11.714,Super Earth,2016,2.51,Earth,1.39,Earth,0.0555,0.010677618,0,Transit
2331,Kepler-1395 b,1608,12.632,Terrestrial,2016,0.437,Earth,0.8,Earth,0.0494,0.010403832,0,Transit
2332,Kepler-1396 b,3479,14.691,Super Earth,2016,4.94,Earth,2.07,Earth,0.1406,0.049828887,0,Transit
2333,Kepler-1397 b,3909,14.324,Super Earth,2016,3.61,Earth,1.72,Earth,0.2602,0.12977414,0,Transit
2334,Kepler-1398 b,2780,13.752,Terrestrial,2016,0.666,Earth,0.9,Earth,0.0392,0.007665982,0,Transit
2335,Kepler-1398 c,2780,13.752,Super Earth,2016,1.08,Earth,1.03,Earth,0.051,0.011225188,0,Transit
2336,Kepler-1399 b,4520,15.572,Super Earth,2016,2.1,Earth,1.25,Earth,0.0276,0.0043805614,0,Transit
2337,Kepler-139 b,1276,12.775,Neptune-like,2014,8.96,Earth,0.262,Jupiter,0.127,0.04325804,0,Transit
2338,Kepler-139 c,1276,12.775,Neptune-like,2014,11.4,Earth,0.302,Jupiter,0.586,0.4301164,0,Transit
2339,Kepler-1400 b,2454,16.067,Super Earth,2016,3.26,Earth,1.62,Earth,0.0771,0.024914443,0,Transit
2340,Kepler-1401 b,4650,15.224,Super Earth,2016,3.46,Earth,1.68,Earth,0.0975,0.030663928,0,Transit
2341,Kepler-1402 b,4872,14.78,Terrestrial,2016,0.363,Earth,0.76,Earth,0.0322,0.0054757018,0,Transit
2342,Kepler-1403 b,7059,15.713,Neptune-like,2016,5.22,Earth,2.14,Earth,0.064,0.014236824,0,Transit
2343,Kepler-1404 b,3139,15.931,Super Earth,2016,4.7,Earth,2.01,Earth,0.1143,0.043531828,0,Transit
2344,Kepler-1405 b,4992,16.028,Neptune-like,2016,14.9,Earth,0.353,Jupiter,0.1778,0.077207394,0,Transit
2345,Kepler-1406 b,1867,13.39,Super Earth,2016,1.37,Earth,1.1,Earth,0.0987,0.03175907,0,Transit
2346,Kepler-1407 b,4555,15.023,Neptune-like,2016,5.69,Earth,0.201,Jupiter,0.1502,0.0550308,0,Transit
2347,Kepler-1408 b,1745,12.124,Terrestrial,2016,0.64,Earth,0.89,Earth,0.0425,0.008213553,0,Transit
2348,Kepler-1409 b,2267,15.391,Super Earth,2016,1.12,Earth,1.04,Earth,0.0152,0.0021902807,0,Transit
2349,Kepler-140 b,1905,13.018,Super Earth,2014,3.22,Earth,1.61,Earth,0.045,0.009034907,0,Transit
2350,Kepler-140 c,1905,13.018,Super Earth,2014,3.89,Earth,1.8,Earth,0.414,0.25023958,0,Transit
2351,Kepler-1410 b,1197,16.319,Super Earth,2016,3.82,Earth,1.78,Earth,0.2543,0.16673511,0,Transit
2352,Kepler-1411 b,5416,15.945,Neptune-like,2016,8.35,Earth,0.252,Jupiter,0.4001,0.23572895,0,Transit
2353,Kepler-1412 b,2465,13.347,Terrestrial,2016,0.498,Earth,0.83,Earth,0.0461,0.009856262,0,Transit
2354,Kepler-1413 b,3808,16.473,Super Earth,2016,3.97,Earth,1.82,Earth,0.1066,0.03613963,0,Transit
2355,Kepler-1414 b,1862,14.989,Super Earth,2016,2.04,Earth,1.23,Earth,0.0426,0.009582478,0,Transit
2356,Kepler-1415 b,3404,15.937,Super Earth,2016,2.21,Earth,1.29,Earth,0.0144,0.0016427105,0,Transit
2357,Kepler-1416 b,3098,14.369,Terrestrial,2016,0.615,Earth,0.88,Earth,0.0257,0.0041067763,0,Transit
2358,Kepler-1417 b,3235,14.038,Terrestrial,2016,0.972,Earth,1,Earth,0.1431,0.055852156,0,Transit
2359,Kepler-1418 b,1628,15.461,Super Earth,2016,3.39,Earth,1.66,Earth,0.131,0.061601643,0,Transit
2360,Kepler-1419 b,4888,15.96,Neptune-like,2016,8.55,Earth,0.255,Jupiter,0.2391,0.11635866,0,Transit
2361,Kepler-141 b,982,13.624,Terrestrial,2014,0.257,Earth,0.69,Earth,0.039,0.008487337,0,Transit
2362,Kepler-141 c,982,13.624,Super Earth,2014,2.57,Earth,1.41,Earth,0.067,0.019164955,0,Transit
2363,Kepler-1420 b,3439,15.894,Super Earth,2016,2.18,Earth,1.28,Earth,0.0671,0.0183436,0,Transit
2364,Kepler-1421 b,2555,12.868,Terrestrial,2016,0.749,Earth,0.93,Earth,0.0762,0.01889117,0,Transit
2365,Kepler-1422 b,8044,15.741,Super Earth,2016,4.74,Earth,2.02,Earth,0.1499,0.050924025,0,Transit
2366,Kepler-1423 b,1465,14.721,Super Earth,2016,1.2,Earth,1.06,Earth,0.1586,0.06570842,0,Transit
2367,Kepler-1424 b,2158,13.756,Super Earth,2016,1.65,Earth,1.16,Earth,0.1861,0.08104038,0,Transit
2368,Kepler-1425 b,2818,13.681,Terrestrial,2016,0.779,Earth,0.94,Earth,0.1038,0.039698835,0,Transit
2369,Kepler-1426 b,5538,15.464,Super Earth,2016,3.05,Earth,1.56,Earth,0.1187,0.039151266,0,Transit
2370,Kepler-1427 b,3980,15.601,Super Earth,2016,1.37,Earth,1.1,Earth,0.0197,0.0027378509,0,Transit
2371,Kepler-1428 b,4992,13.759,Super Earth,2016,3.33,Earth,1.64,Earth,0.1059,0.029295003,0,Transit
2372,Kepler-1429 b,3960,15.053,Super Earth,2016,2.21,Earth,1.29,Earth,0.055,0.0123203285,0,Transit
2373,Kepler-142 b,1790,13.277,Super Earth,2014,4.62,Earth,1.99,Earth,0.032,0.0054757018,0,Transit
2374,Kepler-142 c,1790,13.277,Neptune-like,2014,8.55,Earth,0.255,Jupiter,0.057,0.013141684,0,Transit
2375,Kepler-142 d,1790,13.277,Neptune-like,2014,5.31,Earth,2.16,Earth,0.242,0.11444216,0,Transit
2376,Kepler-1430 b,2856,15.567,Super Earth,2016,1.76,Earth,1.18,Earth,0.0304,0.0068446267,0,Transit
2377,Kepler-1431 b,5295,15.4,Super Earth,2016,2.76,Earth,1.47,Earth,0.0648,0.01615332,0,Transit
2378,Kepler-1432 b,7085,15.594,Neptune-like,2016,5.56,Earth,2.22,Earth,0.1696,0.065434635,0,Transit
2379,Kepler-1433 b,4332,15.051,Super Earth,2016,3.05,Earth,1.56,Earth,0.0516,0.011225188,0,Transit
2380,Kepler-1434 b,2530,12.198,Super Earth,2016,1.41,Earth,1.11,Earth,0.0894,0.022176592,0,Transit
2381,Kepler-1435 b,2297,12.984,Terrestrial,2016,0.566,Earth,0.86,Earth,0.0546,0.0123203285,0,Transit
2382,Kepler-1436 b,8255,15.119,Super Earth,2016,2.27,Earth,1.31,Earth,0.0907,0.026557151,0,Transit
2383,Kepler-1437 b,6856,15.701,Super Earth,2016,2.45,Earth,1.37,Earth,0.0951,0.029842572,0,Transit
2384,Kepler-1438 b,3765,14.983,Terrestrial,2016,0.779,Earth,0.94,Earth,0.0346,0.0062970566,0,Transit
2385,Kepler-1439 b,735,17.0484,Super Earth,2016,2.73,Earth,1.46,Earth,0.0594,0.022176592,0,Transit
2386,Kepler-143 b,2640,13.882,Neptune-like,2014,6.39,Earth,0.215,Jupiter,0.127,0.043805614,0,Transit
2387,Kepler-143 c,2640,13.882,Neptune-like,2014,11.3,Earth,0.301,Jupiter,0.181,0.07419576,0,Transit
2388,Kepler-1440 b,3638,14.24,Super Earth,2016,2.13,Earth,1.26,Earth,0.2274,0.10924025,0,Transit
2389,Kepler-1441 b,3622,14.29,Super Earth,2016,2.27,Earth,1.31,Earth,0.2346,0.107871324,0,Transit
2390,Kepler-1442 b,1986,12.114,Neptune-like,2016,14.7,Earth,0.351,Jupiter,0.4039,0.22286105,0,Transit
2391,Kepler-1443 b,1936,12.313,Terrestrial,2016,0.871,Earth,0.97,Earth,0.0368,0.006570842,0,Transit
2392,Kepler-1444 b,1043,12.363,Neptune-like,2016,5.39,Earth,2.18,Earth,0.2015,0.091444224,0,Transit
2393,Kepler-1445 b,1652,12.407,Terrestrial,2016,0.84,Earth,0.96,Earth,0.0948,0.02902122,0,Transit
2394,Kepler-1446 b,496,12.595,Terrestrial,2016,0.477,Earth,0.82,Earth,0.0141,0.0019164955,0,Transit
